URL/path,robots.txt rule,Meta robots,X-Robots-Tag,Sitemap inclusion,Intended indexability,Actual indexability,Issue,Recommended fix
/collection/nila-blue-gold-zari-silk,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/colorful-vintage-kanjeevaram,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/gulabi-kota-cotton,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/kempu-pachai-and-bandhani,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/pachai-linen-golden-border-drape,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/404,Allow: /,noindex,,no,noindex,noindex,,
/account/addresses,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/account/orders,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/account,Allow: /,"noindex, follow",,no,noindex,noindex,,
/account/profile,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/account/profile/verify-email,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/account/sign-in,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/account/sign-up,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/account/wishlist,Disallow: /account/,"noindex, follow",,no,noindex,noindex,,
/cart,Disallow: /cart,"noindex, follow",,no,noindex,noindex,,
/checkout/confirmation,Disallow: /checkout,"noindex, follow",,no,noindex,noindex,,
/checkout,Disallow: /checkout,"noindex, follow",,no,noindex,noindex,,
/founders,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/privacy-policy,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/return-policy,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/search,Disallow: /search,"noindex, follow",,no,noindex,noindex,,
/shipping-policy,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/terms-of-service,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/_global-error,Allow: /,noindex,,no,noindex,noindex,,
/_not-found,Allow: /,noindex,,no,noindex,noindex,,
/.well-known/appspecific/com.chrome.devtools.json,Allow: /,n/a,,no,review,not indexable,,
/collection/fabric/chiffon,Allow: /,"index, follow",,no,index,indexable/crawlable,indexable URL missing from sitemap,
/collection/fabric/georgette,Allow: /,"index, follow",,no,index,indexable/crawlable,indexable URL missing from sitemap,
/collection/fabric/kanjeevaram,Allow: /,"noindex, follow",,no,review,noindex,,
/collection/occasion/festive,Allow: /,"noindex, follow",,no,review,noindex,,
/collection/occasion/wedding,Allow: /,"noindex, follow",,no,review,noindex,,
/robots.txt,Allow: /,n/a,,no,review,not indexable,,
/faq,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/about,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/stories,Allow: /,"index, follow",,no,noindex,not indexable,expected noindex missing,
/search?q=silk,Disallow: /search,"noindex, follow",,no,noindex,noindex,,
/collection?fabric=silk,Allow: /,"noindex, follow",,no,noindex,noindex,,
/collection?occasion=wedding,Allow: /,"noindex, follow",,no,noindex,noindex,,
/collection?tags=top-viewed,Allow: /,"noindex, follow",,no,noindex,noindex,,
/collection?type=blouse,Allow: /,"noindex, follow",,no,noindex,noindex,,
